carat,cut,colour,clarity,depth,table,price,x,y,z,clarity_n,colour_n,Depth_check
0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75,2,2,63.95348837209303
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52,3,6,60.79613992762365
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78,1,1,61.77777777777778
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75,1,1,61.17908787541713
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76,2,0,61.061946902654874
0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61,3,6,65.1685393258427
0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46,4,6,58.362989323843415
0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75,1,2,63.14580941446612
0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65,2,4,62.35294117647059
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71,1,2,61.80159635119727
0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79,1,2,63.84439359267734
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54,3,5,63.262764632627636
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64,1,2,60.6896551724138
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45,2,4,60.869565217391305
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44,4,3,61.928934010152275
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72,2,1,60.91825307950728
0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41,3,5,61.63682864450128
0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31,3,6,59.306803594351734
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63,1,1,60.95017381228274
0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,1,0,59.250851305334855
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,2,1,62.602579132473615
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,2,1,63.023255813953476
0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,2,1,63.23185011709602
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,4,1,60.89813800657175
0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,2,6,62.588235294117645
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,2,6,62.48548199767713
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,2,6,62.10892236384705
0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,1,1,61.53846153846153
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,5,3,61.35552913198573
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,6,1,61.975028376844506
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,2,3,63.267670915411365
0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,2,3,61.82237600922722
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,6,5,60.69651741293533
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,6,6,61.48055207026349
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,2,2,63.08411214953272
0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,2,2,62.91079812206573
0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,2,2,62.52927400468385
0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,2,2,63.70023419203748
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,5,4,59.21521997621879
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,5,5,59.90453460620524
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,5,6,62.36297198538367
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,5,6,62.779156327543426
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,6,5,62.57668711656442
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,6,5,63.43283582089552
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,6,6,62.08588957055214
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,5,5,62.871287128712886
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,1,1,61.587982832618025
0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,6,5,57.8512396694215
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,6,3,62.26175349428209
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,6,2,61.22961104140527
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,6,2,60.84788029925188
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,5,2,60.66584463625155
0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,2,1,62.903225806451616
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,2,5,62.521891418563925
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,1,5,55.08607198748043
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,3,3,61.5655233069481
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,3,5,62.40140227870289
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,1,3,63.80789022298456
0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,3,5,57.53191489361702
0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,4,4,59.285091543156064
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,1,4,66.61211129296237
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,2,5,61.64502164502164
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,2,2,61.512605042016816
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,2,6,63.2034632034632
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,2,5,59.86622073578595
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,2,3,61.630901287553655
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,3,3,61.68384879725085
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,4,1,62.99745977984758
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,2,3,62.210796915167094
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,2,3,63.02305721605465
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,5,1,62.34887737478412
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,1,4,58.775510204081634
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,5,5,61.97964847363553
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,1,4,61.371237458193974
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,1,5,62.19931271477663
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,3,1,63.029315960912044
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,2,3,62.16450216450216
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,3,4,62.55430060816681
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,3,4,62.68398268398268
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,1,4,61.744966442953015
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,3,3,62.36933797909408
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,3,5,60.74847693646649
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,1,4,59.93377483443709
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,1,6,62.34676007005253
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,2,5,62.252794496990546
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,3,4,61.68888888888889
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,3,4,64.5045045045045
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,3,4,65.29884032114184
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,3,4,61.56583629893238
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,2,2,61.35986733001659
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,5,6,59.605026929982046
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,1,2,64.42622950819673
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,1,2,65.72379367720467
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,3,2,61.95744680851064
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,2,6,63.60424028268551
0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,2,6,61.87554776511832
0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,3,5,62.64418811002662
0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,4,2,61.29032258064515
0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,6,5,60.88527551942186
0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,4,4,60.12163336229366
0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,4,4,61.821366024518376
0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,2,2,61.23833757421544
0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,6,3,61.85752930568079
0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,3,3,60.884648742411095
0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,3,3,59.82905982905983
0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,3,6,61.75438596491229
0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,4,4,59.98286203941731
0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,1,6,61.56521739130435
0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,5,2,62.11180124223603
0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,4,3,63.25247079964062
0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,2,6,60.17094017094018
0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,2,6,61.10623353819139
0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,2,5,60.92254134029591
0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,1,6,61.6871704745167
0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,2,1,61.13013698630137
0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,3,6,62.5222024866785
0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,3,3,61.43226919758413
0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,2,4,62.93103448275862
0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,1,6,62.360034453057715
0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,2,4,60.674157303370784
0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,3,3,60.73567151411462
0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,4,3,61.52512998266898
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,1,6,59.94919559695174
0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,3,3,59.20271416454623
0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,5,2,60.30927835051546
0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,2,4,61.67097329888028
0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,3,3,61.91304347826087
0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,1,4,61.90075693860386
0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,6,2,60.40955631399318
0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,1,4,60.96345514950166
0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,6,3,61.49584487534626
0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,6,4,61.68224299065421
0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,3,5,59.24657534246575
0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,1,6,61.32879045996594
0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,3,6,58.02575107296137
1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,0,0,60.160233066278224
0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,4,5,61.75115207373271
0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,2,5,62.69702276707531
0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,3,1,64.62063086104007
0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,3,4,61.340206185567006
0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,3,3,63.83731211317418
0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,3,5,62.69702276707531
0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,3,5,62.226117440841364
0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,5,5,61.59695817490495
0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,5,5,61.523809523809526
0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,2,3,61.90061028770707
0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,2,3,60.80964685615849
0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,3,3,59.62199312714776
0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,2,3,60.55363321799309
0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,4,6,62.6865671641791
0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,3,4,62.09322779243623
0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,3,4,62.84201235657547
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,3,4,63.82222222222222
0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,3,4,57.77400169923535
0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,3,5,62.09322779243623
0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,3,5,61.14537444933921
0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,2,5,59.96533795493934
0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,2,5,61.17440841367222
0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,2,5,62.65486725663716
0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,2,5,60.99912357581069
0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,2,5,61.04347826086956
0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,2,5,61.431064572425825
0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,2,4,61.75195143104943
0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,2,5,59.860383944153575
0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,2,5,61.28182616330114
0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,2,5,60.46915725456125
0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,3,5,64.1139804096171
0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,1,2,67.88685524126456
0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,2,4,62.424763542562346
0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,2,5,63.18631863186319
0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,6,4,61.287223823246876
0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,3,2,60.891938250428815
0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,2,5,61.68384879725085
0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,3,4,63.58792184724688
0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,3,3,61.200338123415044
0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,3,4,62.10526315789475
0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,4,3,61.52527849185947
0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,4,3,61.389621811785396
1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,0,4,61.80392156862745
0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,2,2,62.16908625106746
0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,2,2,61.12510495382032
0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,4,2,60.56945642795513
0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,5,6,57.51633986928104
0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,3,3,61.317567567567565
0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,4,5,57.16753022452505
0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,4,5,62.903225806451616
0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,1,6,63.075586446568195
0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,2,6,60.81668114682885
0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,2,6,62.697022767075296
0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,2,6,62.786596119929456
0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,2,3,55.123113582208106
0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,2,4,61.38107416879795
0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,7,4,62.20930232558139
0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,3,4,63.04728546409807
0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,4,2,63.72132540356839
0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,3,4,63.61233480176211
0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,6,4,61.988304093567244
0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,4,6,61.49684400360685
0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,6,2,60.46915725456125
0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,4,1,61.13393590797042
0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,5,1,61.77474402730376
0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,3,6,63.25088339222615
0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,4,3,59.37762825904121
0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,2,4,62.5
1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,0,5,64.48
1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,1,2,62.729449321628096
0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,2,4,64.24870466321245
0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,2,5,63.738156761412576
0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,2,5,60.37099494097808
0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,2,5,61.81506849315068
1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,1,0,63.21483771251931
0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,1,3,61.602671118530886
0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,2,5,61.55187445510027
0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,7,3,60.869565217391305
0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,1,3,61.02263202011735
0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,5,5,62.0752984389348
0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,6,5,60.88527551942186
0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,4,2,61.29032258064515
1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,1,0,65.93059936908517
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,7,3,61.33093525179856
0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,6,1,58.793969849246224
0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,1,4,62.30323115161558
0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,4,4,60.12163336229366
0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,4,4,61.821366024518376
0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,2,1,63.59901396877568
0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,2,5,62.15277777777778
0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,2,5,59.195893926432845
0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,2,5,61.834061135371186
0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,2,5,61.27067014795475
0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,4,4,62.147887323943664
0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,4,4,60.71118820468343
0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,5,2,59.64316057774002
0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,4,4,62.226117440841364
0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,2,3,60.631229235880404
0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,3,5,62.90748898678413
0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,3,5,64.12078152753108
0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,3,1,61.29032258064515
0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,3,2,62.717770034843205
0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,2,5,63.21155480033985
0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,3,5,60.70507308684437
0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,5,1,61.85216652506372
0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,1,4,62.62626262626263
0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,4,4,60.73298429319371
0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,1,6,61.99649737302976
0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,7,1,63.047285464098074
